N,obs_subsamples,smoothness_w,ux_min,obstacle_clearance_m,success,accepted,cost_s,solve_time_s,iterations,max_obstacle_slack,min_obstacle_clearance_m
100,5,0.2,2.0,0.0,True,True,20.781591400120085,10.385075807571411,18,0.0,inf
100,5,0.2,2.5,0.0,True,True,20.781591400152816,9.91970419883728,18,0.0,inf
100,5,0.4,2.0,0.0,True,True,21.054943213774404,9.566931247711182,16,0.0,inf
100,5,0.4,2.5,0.0,True,True,21.054943219713056,9.60458517074585,16,0.0,inf
100,5,0.7,2.0,0.0,True,True,21.257430182681404,9.48925256729126,15,0.0,inf
100,5,0.7,2.5,0.0,True,True,21.25743018067217,9.630020380020142,16,0.0,inf
100,5,1.0,2.0,0.0,True,True,21.38594832977119,9.484219789505005,15,0.0,inf
100,5,1.0,2.5,0.0,True,True,21.385948328249505,9.56831693649292,16,0.0,inf
100,7,0.2,2.0,0.0,True,True,20.781591400120085,9.827690601348877,18,0.0,inf
100,7,0.2,2.5,0.0,True,True,20.781591400152816,9.830572128295898,18,0.0,inf
100,7,0.4,2.0,0.0,True,True,21.054943213774404,9.625352144241333,16,0.0,inf
100,7,0.4,2.5,0.0,True,True,21.054943219713056,9.583652973175049,16,0.0,inf
100,7,0.7,2.0,0.0,True,True,21.257430182681404,9.456111669540405,15,0.0,inf
100,7,0.7,2.5,0.0,True,True,21.25743018067217,9.574931383132935,16,0.0,inf
100,7,1.0,2.0,0.0,True,True,21.38594832977119,9.452648878097534,15,0.0,inf
100,7,1.0,2.5,0.0,True,True,21.385948328249505,9.558828830718994,16,0.0,inf
120,5,0.2,2.0,0.0,True,True,20.788568808035773,12.030102014541626,18,0.0,inf
120,5,0.2,2.5,0.0,True,True,20.78856880803514,11.847033262252808,18,0.0,inf
120,5,0.4,2.0,0.0,True,True,21.07938308348381,11.527198553085327,16,0.0,inf
120,5,0.4,2.5,0.0,True,True,21.079383083415742,11.688225984573364,17,0.0,inf
120,5,0.7,2.0,0.0,True,True,21.290375024619866,11.40189003944397,15,0.0,inf
120,5,0.7,2.5,0.0,True,True,21.290375025016562,11.57835841178894,16,0.0,inf
120,5,1.0,2.0,0.0,True,True,21.423023312256902,11.715525150299072,16,0.0,inf
120,5,1.0,2.5,0.0,True,True,21.423023312256607,11.81498408317566,17,0.0,inf
120,7,0.2,2.0,0.0,True,True,20.788568808035773,11.857280254364014,18,0.0,inf
120,7,0.2,2.5,0.0,True,True,20.78856880803514,11.867854356765747,18,0.0,inf
120,7,0.4,2.0,0.0,True,True,21.07938308348381,11.57742428779602,16,0.0,inf
120,7,0.4,2.5,0.0,True,True,21.079383083415742,11.713551998138428,17,0.0,inf
120,7,0.7,2.0,0.0,True,True,21.290375024619866,11.301001071929932,15,0.0,inf
120,7,0.7,2.5,0.0,True,True,21.290375025016562,11.437164545059204,16,0.0,inf
120,7,1.0,2.0,0.0,True,True,21.423023312256902,11.420769453048706,16,0.0,inf
120,7,1.0,2.5,0.0,True,True,21.423023312256607,11.592081546783447,17,0.0,inf
140,5,0.2,2.0,0.0,True,True,20.68545370191749,13.779979705810547,18,0.0,inf
140,5,0.2,2.5,0.0,True,True,20.68545370191726,13.934659719467163,19,0.0,inf
140,5,0.4,2.0,0.0,True,True,20.99553469164322,13.463451385498047,16,0.0,inf
140,5,0.4,2.5,0.0,True,True,20.995534692571354,13.577316284179688,17,0.0,inf
140,5,0.7,2.0,0.0,True,True,21.209868082879762,13.575572729110718,17,0.0,inf
140,5,0.7,2.5,0.0,True,True,21.20986808288096,13.583806991577148,17,0.0,inf
140,5,1.0,2.0,0.0,True,True,21.343891953994618,13.388310670852661,16,0.0,inf
140,5,1.0,2.5,0.0,True,True,21.34389195399423,13.592055082321167,17,0.0,inf
140,7,0.2,2.0,0.0,True,True,20.68545370191749,13.783472537994385,18,0.0,inf
140,7,0.2,2.5,0.0,True,True,20.68545370191726,13.943911075592041,19,0.0,inf
140,7,0.4,2.0,0.0,True,True,20.99553469164322,13.405635356903076,16,0.0,inf
140,7,0.4,2.5,0.0,True,True,20.995534692571354,13.602536916732788,17,0.0,inf
140,7,0.7,2.0,0.0,True,True,21.209868082879762,13.755359649658203,17,0.0,inf
140,7,0.7,2.5,0.0,True,True,21.20986808288096,13.782714128494263,17,0.0,inf
140,7,1.0,2.0,0.0,True,True,21.343891953994618,13.444495677947998,16,0.0,inf
140,7,1.0,2.5,0.0,True,True,21.34389195399423,13.575929880142212,17,0.0,inf
